"GeneName","DrugID"
"AADAT","DB00114"
"AADAT","DB00142"
"AAK1","DB12010"
"AARS2","DB00160"
"AASS","DB00142"
"AASS","DB02338"
"AASS","DB04207"
"AASS","DB00157"
"ABAT","DB00119"
"ABAT","DB00160"
"ABAT","DB04235"
"ABAT","DB00780"
"ABAT","DB00114"
"ABAT","DB01080"
"ABAT","DB01699"
"ABAT","DB00142"
"ABCB1","DB00813"
"ABCB1","DB06240"
"ABCB1","DB06191"
"ABCB1","DB14066"
"ABCB1","DB14061"
"ABCB1","DB00661"
"ABCB1","DB09031"
"ABCB1","DB14065"
"ABCB1","DB05449"
"ABCB1","DB14064"
"ABCB1","DB14070"
"ABCB1","DB00603"
"ABCB1","DB00778"
"ABCB1","DB04877"
"ABCB1","DB14069"
"ABCB1","DB04905"
"ABCB1","DB14063"
"ABCB1","DB14071"
"ABCB1","DB04881"
"ABCB1","DB16407"
"ABCB1","DB14068"
"ABCB1","DB06420"
"ABCB1","DB14067"
"ABCB1","DB14072"
"ABCB1","DB14062"
"ABCB1","DB00171"
"ABCB1","DB11635"
"ABCB11","DB01016"
"ABCB11","DB00171"
"ABCC6","DB00171"
"ACAA2","DB09069"
"ACACB","DB07870"
"ACACB","DB02859"
"ACACB","DB03781"
"ACACB","DB00121"
"ACACB","DB00173"
"ACADM","DB03415"
"ACADM","DB02910"
"ACADM","DB03147"
"ACADS","DB00157"
"ACADS","DB03059"
"ACADS","DB03147"
"ACADSB","DB00313"
"ACADSB","DB00167"
"ACLY","DB11936"
"ACOT13","DB08688"
"ACSL1","DB00131"
"ACSL1","DB00171"
"ACSL4","DB00159"
"ACSL4","DB00412"
"ACSL4","DB00197"
"ACSS1","DB00171"
"ACSS2","DB00131"
"ACSS2","DB00171"
"ACY1","DB00128"
"ACY1","DB06151"
"ACY1","DB09130"
"ADH1A","DB00157"
"ADH1A","DB01213"
"ADH1A","DB04065"
"ADH1A","DB02721"
"ADH1B","DB03461"
"ADH1B","DB02481"
"ADH1B","DB01213"
"ADH1B","DB04105"
"ADH1B","DB09462"
"ADH1B","DB02721"
"ADH1B","DB00157"
"ADH1B","DB03703"
"ADH1C","DB02249"
"ADH1C","DB01213"
"ADH1C","DB02659"
"ADH1C","DB03226"
"ADH1C","DB02131"
"ADH1C","DB03020"
"ADH1C","DB02757"
"ADH1C","DB04312"
"ADH1C","DB02721"
"ADH1C","DB04071"
"ADH1C","DB03559"
"ADH1C","DB01711"
"ADH1C","DB02822"
"ADH1C","DB04448"
"ADH1C","DB03061"
"ADH1C","DB02871"
"ADH1C","DB00157"
"ADH1C","DB04113"
"ADH4","DB03559"
"ADH4","DB00157"
"ADK","DB00131"
"ADK","DB07280"
"ADK","DB07173"
"ADSS","DB05540"
"ADSS","DB00128"
"ADSSL1","DB05540"
"ADSSL1","DB04566"
"ADSSL1","DB04137"
"ADSSL1","DB04418"
"ADSSL1","DB04315"
"ADSSL1","DB02109"
"ADSSL1","DB00128"
"ADSSL1","DB03510"
"AGXT2","DB00119"
"AGXT2","DB00145"
"AGXT2","DB00160"
"AGXT2","DB00114"
"AKR1B10","DB08772"
"AKR1B10","DB06246"
